action,new_cols,missing_cols,dtype_changes,new_col_ratio,missing_col_ratio,dtype_change_ratio,null_ratio_delta,duplicate_ratio,downstream_failures,avg_latency_ms,storage_tier_imp,row_count_delta
auto_merge_schema,0.5595673358054774,0.030720929521238578,0.25684806613432326,0.13641221607808013,0.00013653746453883616,0.03955159600812839,0.0,0.0,0.0,0.0,0.0,0.0
create_new_schema_version,0.6032057386682128,0.06640198078403318,0.2879171752849753,0.045783394792646474,0.0002951199145956935,0.014185413192424919,0.0,0.0,0.0,0.0,0.0,0.0
quarantine_data,0.6513089491521934,0.0,0.34250438155520146,0.0023558948472247546,0.0,0.0007076536808991577,0.0,0.0,0.0,0.0,0.0,0.0
require_human_approval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rollback_previous_schema,0.6187435016945837,0.0,0.3253791624774413,0.002238100104863512,0.0,0.0006722709968541977,0.0,0.0,0.0,0.0,0.0,0.0
